0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,Gesture
10.5,3.45,2.55,2.975,21.35,22.075,1.8,5.9,700.0,188.0,135.0,174.0,1366.0,1146.0,96.0,349.0,16.0,14.0,12.0,15.0,15.0,11.0,12.0,17.0,-0.4189917289869908,-0.3458089233648219,-0.30578705904823694,-0.38994105451509853,-0.3347848676456901,-0.28412621133944743,-0.4930504975581345,-0.45543313189820034,-0.3023177197455307,-0.44103696797383724,-0.2610948615024962,-0.3573738105985635,-0.26139882349982146,-0.39902353502584126,-0.2561269225759297,-0.30329389044097205,-0.4478902286153701,-0.16393374922102186,-0.5225424551786274,-0.20383208953089316,-0.2721831319806259,-0.35380659536976083,-0.392723050714463,-0.4002114466525009,-0.08698501841710528,0.005624569043283203,-0.28960388486124333,-0.36968318294918956,-0.30639854880783707,-0.28188118751896807,-0.10289668078304935,-0.15727367110890927,1
7.8,2.95,3.825,5.125,18.925,25.675,2.25,5.075,502.0,161.0,222.0,314.0,1249.0,1607.0,147.0,301.0,19.0,11.0,13.0,17.0,21.0,17.0,16.0,17.0,-0.2019854701351217,-0.30485151298393104,0.009612629389339102,-0.3826272485169588,-0.19996900701088016,-0.28933627089715686,-0.12639880544937288,-0.5777153214445268,-0.2959082261340521,-0.5939397845375988,-0.1150779418677929,-0.4832720369881797,-0.20266169075905996,-0.2451186773185389,-0.08434220881947295,-0.1515779055214867,-0.4722542785686209,-0.279061326708376,-0.1289676223584741,-0.22640878430056366,-0.4014678660521474,-0.5463986204283405,-0.14175428132850904,-0.5223731874118471,-0.44177537305101644,-0.009501038817859644,-0.06042626095091002,-0.18879247900953972,-0.23416173960824357,-0.11405151152282181,0.04407974765725958,-0.19646612907894875,1
9.275,2.8,3.15,6.35,19.275,17.625,1.975,3.825,639.0,160.0,196.0,407.0,1143.0,1088.0,129.0,226.0,18.0,13.0,15.0,16.0,19.0,20.0,16.0,15.0,-0.4817502725875827,-0.2686566751393107,-0.1195008460726606,-0.3204083024186048,-0.010105520812956827,-0.33985048353561265,-0.1075276207130806,-0.2744621416195981,-0.24340117956415094,-0.3751056141085206,0.045505243710028,-0.18696677214573887,-0.29259954352774803,-0.2576137761802898,-0.1284258244166744,-0.24815583000164454,-0.26895855737300867,-0.35895702027928533,-0.09625861364907475,-0.2458205644574291,-0.15571374689576498,-0.44690325118932656,-0.053423777381288,-0.28271624361637177,-0.2635507092892957,0.16736451188176515,-0.04581940458455526,-0.4839898894752821,-0.4374925570552794,-0.28859143299857565,-0.4155002439839174,-0.3146544456885732,1
10.325,2.775,2.925,4.025,19.225,17.275,1.7,3.325,677.0,178.0,176.0,251.0,1301.0,1049.0,94.0,214.0,19.0,17.0,17.0,14.0,20.0,15.0,10.0,19.0,-0.5202398777443246,-0.4807502657620011,-0.4132526958479379,-0.38259480541008334,-0.585388736611196,-0.523222375466496,-0.15796438264893026,-0.1395660884549552,-0.32380583301656746,-0.20954550844770345,-0.10929203150738799,-0.20625998617536134,-0.32131232906187046,-0.352294033041127,-0.17154662031454448,-0.23278085971344603,-0.5751402473093261,-0.22735518789080245,-0.22797043065055228,-0.2618697160727952,-0.39733348512500516,-0.4434517346932123,-0.3423112376133827,-0.2183055557558086,-0.09833899543037787,-0.031683475471993336,-0.10590841247529303,-0.2832882123196328,-0.4674699075986382,-0.5622992650562368,-0.24577218228063602,-0.330227507444128,1
8.55,2.125,2.55,4.925,17.35,13.575,1.825,3.175,553.0,132.0,150.0,312.0,1116.0,734.0,93.0,173.0,17.0,17.0,16.0,16.0,21.0,15.0,13.0,16.0,-0.45231467011534865,-0.39576243972754754,-0.3058135363621437,-0.3619957021927326,-0.526054641232259,-0.5623333447727292,-0.32617237962263873,-0.3396578024582158,-0.2698562506569112,-0.29453901458449244,-0.22383555985911724,-0.005738771860449792,-0.47085088684317983,-0.11437020154006576,-0.12695833136721868,-0.09248407530640368,-0.5850594166537791,-0.21016392078364102,-0.13694734883124582,-0.131764695991349,-0.31090056286748596,-0.30214110813798867,-0.38953678259652486,-0.37149877807763054,0.11957187372653592,-0.10089348270416792,-0.5613426550329356,0.08550083171409265,-0.07137305137128475,-0.4062430861993822,-0.1885471985626166,-0.4002535555358332,1
6.5,2.775,2.275,4.25,13.9,14.8,1.8,3.0,408.0,178.0,141.0,260.0,910.0,891.0,105.0,169.0,17.0,19.0,12.0,15.0,18.0,12.0,15.0,12.0,-0.5059184135169539,-0.5146707212568387,-0.3330086827144256,-0.22226701090145862,-0.551737593939652,-0.24219526623672472,-0.3206418153667632,-0.26957721663912904,-0.33795672946283156,-0.3077235503631234,-0.3521623315517901,-0.3159902278044713,-0.29507621900295616,-0.20074302562274834,-0.43408851332226117,-0.32098568285679246,-0.550582633641979,-0.37747729363345445,-0.5892379284939371,-0.5651094698665275,-0.5599347245310439,-0.3088727147179562,-0.7017044217606148,-0.6859017825555109,-0.22350901047777247,-0.016002193314673712,-0.2129877102572411,-0.32770390470139144,-0.24232187435913577,-0.12950543279511162,-0.24249449444542262,-0.1828893640082854,1
7.15,2.65,2.6,4.275,14.675,13.3,1.45,2.975,477.0,155.0,165.0,294.0,934.0,694.0,82.0,175.0,18.0,16.0,12.0,17.0,16.0,14.0,8.0,12.0,-0.4185422791163768,-0.3553828815548761,-0.3235610445202157,-0.2804964016178553,-0.4075182019603629,-0.6071261568938284,-0.3395092896291189,-0.6114213821754917,-0.39225444450328906,-0.45641440912382214,-0.4236241000560357,-0.4109751052034229,-0.3622788327464097,-0.18787759104591628,-0.4882898193925199,-0.18660290546144737,-0.482123998129806,-0.30612804356325735,-0.2575480132284424,-0.26012047000597477,-0.14277536694134704,-0.12992800383472544,-0.2190936559869704,-0.14095621914470294,-0.2485781086072896,-0.1540004867043463,-0.22930443296433908,-0.062178726913523594,-0.09478452413045121,-0.18668184926344214,-0.07771108059515734,-0.32235580205401554,1
8.3,4.0,3.15,3.875,16.3,13.75,2.25,6.275,511.0,248.0,173.0,228.0,1025.0,853.0,135.0,362.0,18.0,17.0,16.0,12.0,18.0,20.0,13.0,15.0,-0.45914998591801615,-0.5698160330505616,-0.29940573648818747,-0.4299001021903356,-0.4563804985800649,-0.4454288459689432,-0.30298071748957117,-0.31608757709092156,-0.022665753849058026,-0.3142196617482748,-0.12955637359505426,-0.47109476805226563,-0.3014523458875338,-0.33774552217120213,-0.35527272216574535,-0.30696847506306024,-0.30345042899930963,-0.2028856456513445,-0.31376850858915406,-0.23643527289926755,-0.3194995815123864,-0.3171987803241573,-0.3912358274237537,-0.3058855342179407,-0.13465069976229962,-0.031466334038183524,-0.03861823878338745,-0.29345317121493203,-0.14119632730855555,-0.3234554588139101,-0.2000111656289802,-0.1569092566609795,1
10.05,3.75,2.475,4.5,14.025,14.25,1.825,5.3,669.0,227.0,117.0,222.0,873.0,830.0,102.0,368.0,18.0,16.0,10.0,10.0,13.0,11.0,10.0,21.0,-0.6118300245465187,-0.4060170020226547,-0.28265620477899334,-0.1811918687481669,-0.41263355004645713,-0.3161938315897002,-0.12581463327477063,0.046621918107912795,-0.21864242153531033,-0.4365367546604074,-0.3584130884213763,-0.31381134862757104,-0.1150316785996314,-0.16139155762098842,-0.44326866510710916,-0.1397923842453867,-0.2044420432892469,-0.26869102681615736,-0.26071023728815534,-0.1260753484852537,-0.021370426656112974,-0.44285962384257505,-0.08938245248731846,-0.3127561882751562,-0.4333617601583762,-0.22347542121148156,-0.3464522930766336,-0.13247002421953855,-0.43767918702066216,-0.11217702535754152,0.09624888260763032,0.1272241170441452,1
10.725,3.625,1.975,3.25,14.2,14.25,1.4,4.625,674.0,253.0,114.0,177.0,870.0,895.0,75.0,312.0,17.0,20.0,16.0,14.0,16.0,16.0,8.0,19.0,-0.327565341179311,-0.30318523905385303,-0.12740120858235565,-0.26515942140631454,-0.5799282145917452,-0.19787290903572705,-0.15365211362843215,-0.031283139462863485,-0.21589462866741763,-0.007801849144330293,-0.10155071104183364,-0.2768731652617509,-0.07413585286221283,-0.08265170074602482,-0.0767574194605888,-0.5408892144418733,-0.2784653222594149,-0.39625609071115503,-0.057314222295397566,-0.22444501375547965,-0.40601311694865033,-0.5316597932301036,-0.32080636948247176,-0.23620770402624333,0.1979149735925116,-0.4467828877535368,0.1564255387275092,-0.2646056549249343,-0.25110739654841485,-0.172145861164251,-0.11839668438860428,-0.17654758065771944,1
