0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,Gesture
21.45,4.65,4.3,6.95,13.875,16.775,72.225,28.825,1541.0,308.0,289.0,450.0,914.0,915.0,4543.0,1859.0,19.0,18.0,19.0,18.0,18.0,18.0,22.0,20.0,-0.8438445942853107,-0.581614442697296,-0.19113647362291883,-0.2970751820694597,-0.6448325540577741,-0.1421425704376084,0.004677254082114138,-0.10528570222722557,-0.31916377324850276,-0.007175233779383687,0.09062375067852715,-0.25579916294710753,-0.2682930113498024,-0.1440473391502346,-0.03645651819320108,-0.46643178973335664,-0.5374825170994667,-0.3440873835934771,-0.2754429011932687,-0.33567370569632665,-0.2269760889941984,-0.24362178505366658,-0.3033125833817022,-0.21515419194380878,-0.4602402632198355,-0.06921318390409444,-0.0998465961499346,-0.13730636210350125,-0.6748015695837937,-0.4326054182390907,-0.30403541047844723,-0.22377188669863823,0
25.175,4.275,4.65,9.875,13.675,20.35,70.45,31.85,1732.0,270.0,311.0,681.0,946.0,1208.0,4220.0,2217.0,21.0,18.0,20.0,22.0,19.0,16.0,19.0,21.0,-0.8822575574639866,-0.649814266035659,-0.713914495040766,-0.47580085934741223,-0.7207667136158354,-0.6312841690795866,-0.525573036542015,-0.35630557065202917,-0.6430076014522316,-0.5957668123123113,-0.32050381021409585,-0.42138770682838383,-0.7510127680283041,-0.6478472823361132,-0.290347813676208,-0.2505082341927569,-0.9051817743914066,-0.6435038850282723,-0.45913135911462727,-0.3860497489517939,-0.3493971897673929,-0.4934700313224955,-0.3007464039392303,-0.2957539359915219,-0.47565184254782966,-0.27374755869190043,-0.23764758303879502,-0.1357089496567013,-0.7120436762858389,-0.34639830523188747,-0.34500964264145634,-0.24903888426265608,0
23.025,3.875,5.325,14.55,15.1,17.4,66.75,26.775,1622.0,255.0,354.0,998.0,1060.0,1192.0,4212.0,1939.0,17.0,13.0,15.0,21.0,24.0,19.0,15.0,18.0,-0.7109833344733817,-0.420243328775687,-0.3175860027979333,-0.05501960605374452,-0.504060426393621,-0.1635497036578788,0.07125909970993952,-0.06683928712185018,-0.5499701561673793,-0.2847765318620073,0.034704412782090466,-0.015536866806745629,-0.7334829986164426,-0.6093167360467043,-0.19048588099304975,-0.20703597336786395,-0.7956123725817991,-0.5577932509467687,-0.3185065483171985,-0.44825904697181446,-0.42839571749238287,-0.3155844748656863,-0.1434720868465066,-0.2587110580170689,-0.4230611712444364,-0.178697098667839,-0.11670591618385605,-0.13883847793226622,-0.6631504640166902,-0.42790533327356084,-0.360871874054471,-0.4162088069458579,0
22.275,3.65,4.15,8.75,13.175,18.75,62.45,29.925,1462.0,226.0,262.0,528.0,961.0,1179.0,3750.0,1892.0,19.0,18.0,19.0,15.0,18.0,16.0,17.0,15.0,-0.6141665387752423,-0.3698926411326023,-0.4751288774911653,-0.3283497488832894,-0.1788536517362498,-0.3421028919382312,-0.1315543142386852,-0.17216671887870702,-0.24787014148548092,-0.30131507502681026,-0.11606425946817213,-0.17623709608829066,-0.42537403613564834,-0.4082772266835748,-0.3446430034002166,-0.2501848383356859,-0.8334727225355529,-0.648968896718422,-0.6055264848691753,-0.40339420603717835,-0.4056531995481171,-0.6330939398476384,-0.39016498152396806,-0.4614161855931978,-0.45396495876605886,-0.5635450074546554,-0.33053439051855216,-0.1885849465571172,-0.4667819537505708,-0.5045530101324524,-0.3883494750560204,-0.22644535541592006,0
27.675,3.65,3.525,8.0,13.55,20.2,60.475,25.65,1828.0,221.0,212.0,491.0,884.0,1291.0,4018.0,1406.0,19.0,13.0,12.0,16.0,18.0,15.0,21.0,14.0,-0.5732249139561676,-0.3062795962818776,-0.0886762743213234,-0.1734267365801944,-0.12384515878616759,-0.13700441481059114,-0.39706060373895474,0.20333604856893486,-0.2144999211138892,-0.008367046000869181,-0.27847161287482763,0.03273638346708937,-0.3398212565913086,-0.357544649795994,-0.3676311923050962,0.09212544604891557,-0.5433843095026012,-0.4968539625342588,-0.2455831743942108,-0.014978463486293545,-0.20025046347661238,-0.30182033158870614,-0.3170404201103664,0.0758419420610897,-0.47591004445103824,-0.22827280429932187,-0.16127973203530196,-0.13576175397704388,-0.11271779256254026,-0.27656912773829845,-0.2799584597050748,0.05329634650894533,0
20.4,2.975,3.35,7.05,10.95,16.4,50.575,22.1,1321.0,177.0,202.0,484.0,718.0,1030.0,3347.0,1365.0,21.0,15.0,18.0,20.0,18.0,17.0,18.0,19.0,-0.715163235817894,-0.6302499325381284,-0.523394691819974,-0.3544622890104841,-0.2921200250099509,-0.10469128924618613,-0.26320128870984233,0.07403734636444144,-0.3770103507188152,-0.1136278420448335,-0.2681958423495417,-0.02330286556345984,-0.5139920964504019,-0.3293772181293392,-0.39889005102033276,-0.06292046484120314,-0.4629693031822919,-0.45698295660637706,-0.24650254729443294,-0.14358023639530856,-0.5124246011043916,-0.5039438683692787,-0.37332108518561075,-0.23084500233616637,-0.5247827712778361,-0.4519898681533161,-0.10052357152442523,-0.2987116021357774,-0.3812038162153707,-0.36306083647080667,-0.3542255416306669,0.050546728350122645,0
18.85,2.575,3.75,8.825,9.75,13.725,44.275,17.25,1197.0,117.0,263.0,589.0,689.0,800.0,2826.0,1096.0,17.0,12.0,13.0,18.0,23.0,13.0,20.0,19.0,-0.7160059330851485,-0.5384883443719358,-0.40176960230366066,-0.33589404662904593,0.1894139389587644,0.02553327427870245,-0.18050540040247764,-0.044353296078519275,-0.32547366078026874,-0.1159844395004359,-0.17514583087008181,-0.11942337659518094,-0.37801639478772425,-0.4150434517802583,-0.3343263831486999,-0.41579934636285404,-0.6322764071244608,-0.2760815884787454,-0.23384671477565075,-0.30484667960665435,-0.3490281247868687,-0.32125249083010504,-0.5743184775211521,-0.3015514938419064,-0.5547590483040764,-0.49566552049911106,-0.3240187226050472,-0.4100300325641814,-0.3899882620158491,-0.40717343139624246,-0.2843800462572759,-0.2619076878757972,0
16.5,2.825,3.525,7.725,6.825,13.25,51.9,21.475,936.0,177.0,213.0,474.0,385.0,728.0,3458.0,1484.0,17.0,17.0,15.0,20.0,15.0,17.0,18.0,18.0,-0.4749127472884245,-0.5542386423534785,-0.4179476673582766,-0.4597337513712933,-0.3318039304175003,-0.16008120152011668,-0.09517399192333664,-0.2066880363756298,-0.22023928564988676,-0.04765813860028558,-0.059688352654196065,-0.08690336728065334,-0.1415079004380186,-0.1643686982971977,-0.11690152359624523,-0.13687164806175933,-0.21829301867787465,-0.3318376095928999,-0.27818598860100413,-0.10076585825677369,-0.30309320032364484,-0.5141741483856866,-0.4061573225754253,-0.5764625814169018,-0.5853648088245393,-0.3529549894988467,-0.30942122995498417,-0.096818855294046,-0.6586707776174408,-0.26740984410151414,-0.09670118189007729,-0.06931386805292407,0
20.1,2.325,2.8,6.85,7.15,9.375,45.475,15.925,1444.0,140.0,165.0,433.0,408.0,580.0,2944.0,1004.0,18.0,14.0,15.0,17.0,15.0,13.0,22.0,21.0,-0.6360760577657419,-0.355491303709854,-0.36027738026646394,-0.22171215318226148,-0.10233803814011541,-0.29713904515620526,-0.01307615271627629,-0.33519671813328694,-0.28253666788446535,-0.3137502639260366,-0.2242131175355848,-0.37065795875996727,-0.5016356922765959,-0.5129397674667393,-0.3807796065730347,-0.3974615334964915,-0.4743732583253756,-0.5092313003186341,-0.4411704107517569,-0.2767168731203132,-0.3779698949565884,-0.3016172057328278,-0.3703331121335837,-0.2667487413870034,-0.5789322339163244,-0.6981787359125666,-0.43346977016786997,-0.5266234331406717,-0.21955288547523133,-0.22220761106790138,-0.020001171563638894,-0.12084161828895154,0
20.35,2.05,3.1,7.275,8.15,10.05,37.35,14.025,1340.0,124.0,181.0,475.0,560.0,531.0,2498.0,860.0,17.0,14.0,16.0,19.0,21.0,12.0,22.0,10.0,-0.5718676989514035,-0.6187432995846853,-0.3703130709986115,-0.3024505840735313,-0.26303535636318215,-0.04349335163636554,-0.15798613215847176,-0.3883722781518326,-0.3264357780354411,-0.3847705388202734,-0.2790367106183158,-0.3770215885326169,-0.4510162070782962,-0.3125601568973397,-0.284019620460873,-0.30411421124174526,-0.5523335026223546,-0.34742245874913485,-0.45569365043071286,-0.28954081665552656,-0.02560622966700443,-0.2600052800622917,-0.29633242906510215,-0.13123320776499717,-0.5960237331613977,-0.4832388335003463,-0.44344647859588693,-0.47866994808410784,-0.4569206577877471,-0.40687359431106646,-0.40438105580581135,-0.15750858463977271,0
